LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1742899277.139064,220072.000,33773,3,PR,1,100,163653
1742899277.179065,220112.000,33773,3,PR,1,100,163377
1742899277.219065,220152.000,33773,3,PR,1,100,163327
1742899277.259065,220192.000,33790,2,PR,1,100,163365
1742899277.299066,220232.000,33790,2,PR,1,100,163433
1742899277.339066,220272.000,33805,3,PR,1,100,163504
1742899277.379067,220312.000,33805,3,PR,1,100,163535
1742899277.419067,220352.000,33805,3,PR,1,100,163555
1742899277.459067,220392.000,33823,2,PR,1,100,163595
1742899277.499068,220432.000,33823,2,PR,1,100,163635
1742899277.539068,220472.000,33841,3,PR,1,100,163710
1742899277.579069,220512.000,33841,3,PR,1,100,163764
1742899277.619069,220552.000,33841,3,PR,1,100,163836
1742899277.659070,220592.000,33857,2,PR,1,100,163891
1742899277.699070,220632.000,33857,2,PR,1,100,163951
1742899277.739070,220672.000,33872,3,PR,1,100,163997
1742899277.779071,220712.000,33872,3,PR,1,100,164020
1742899277.819071,220752.000,33872,3,PR,1,100,163795
1742899277.859072,220792.000,33888,2,PR,1,100,163427
1742899277.899072,220832.000,33888,2,PR,1,100,163271
1742899277.939073,220872.000,33906,4,PR,1,100,163277
1742899277.979073,220912.000,33906,4,PR,1,100,163369
1742899278.019073,220952.000,33906,4,PR,1,100,163452
1742899278.059074,220992.000,33906,4,PR,1,100,163509
1742899278.099074,221032.000,33922,2,PR,1,100,163518
1742899278.139075,221072.000,33922,2,PR,1,100,163541
1742899278.179075,221112.000,33941,3,PR,1,100,163581
1742899278.219076,221152.000,33941,3,PR,1,100,163627
1742899278.259076,221192.000,33941,3,PR,1,100,163705
1742899278.299076,221232.000,33958,2,PR,1,100,163771
1742899278.339077,221272.000,33958,2,PR,1,100,163827
1742899278.379077,221312.000,33975,3,PR,1,100,163887
1742899278.419078,221352.000,33975,3,PR,1,100,163928
1742899278.459078,221392.000,33975,3,PR,1,100,163991
1742899278.499079,221432.000,33991,2,PR,1,100,163826
1742899278.539079,221472.000,33991,2,PR,1,100,163455
1742899278.579079,221512.000,34009,3,PR,1,100,163283
1742899278.619080,221552.000,34009,3,PR,1,100,163257
1742899278.659080,221592.000,34009,3,PR,1,100,163364
1742899278.699081,221632.000,34023,2,PR,1,100,163455
1742899278.739081,221672.000,34023,2,PR,1,100,163503
1742899278.779082,221712.000,34042,3,PR,1,100,163528
1742899278.819082,221752.000,34042,3,PR,1,100,163542
1742899278.859082,221792.000,34042,3,PR,1,100,163568
1742899278.899083,221832.000,34059,2,PR,1,100,163635
