LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1742899280.159096,223092.000,34261,1,TH,1,100,30.255
1742899280.292098,223225.000,34281,1,TH,1,100,30.262
1742899280.425099,223358.000,34312,1,TH,1,100,30.272
1742899280.559101,223492.000,34328,1,TH,1,100,30.272
1742899280.692102,223625.000,34346,1,TH,1,100,30.287
1742899280.825104,223758.000,34370,1,TH,1,100,30.287
1742899280.959105,223892.000,34387,1,TH,1,100,30.237
1742899281.092106,224025.000,34404,1,TH,1,100,30.244
1742899281.225108,224158.000,34436,1,TH,1,100,30.323
1742899281.359109,224292.000,34452,1,TH,1,100,30.323
1742899281.492110,224425.000,34471,1,TH,1,100,30.309
1742899281.625112,224558.000,34503,1,TH,1,100,30.309
1742899281.759113,224692.000,34519,1,TH,1,100,30.241
1742899281.892115,224825.000,34536,1,TH,1,100,30.248
1742899282.025116,224958.000,34553,1,TH,1,100,30.290
1742899282.158118,225091.000,34586,1,TH,1,100,30.290
1742899282.292119,225225.000,34604,1,TH,1,100,30.295
1742899282.425121,225358.000,34620,1,TH,1,100,30.295
1742899282.559122,225492.000,34652,1,TH,1,100,30.343
1742899282.692123,225625.000,34669,1,TH,1,100,30.350
1742899282.825125,225758.000,34685,1,TH,1,100,30.252
1742899282.958126,225891.000,34719,1,TH,1,100,30.252
1742899283.092128,226025.000,34736,1,TH,1,100,30.307
1742899283.225129,226158.000,34752,1,TH,1,100,30.314
1742899283.358130,226291.000,34786,1,TH,1,100,30.267
1742899283.492132,226425.000,34803,1,TH,1,100,30.267
1742899283.625133,226558.000,34822,1,TH,1,100,30.269
1742899283.758135,226691.000,34853,1,TH,1,100,30.269
1742899283.892136,226825.000,34871,1,TH,1,100,30.300
1742899284.025138,226958.000,34887,1,TH,1,100,30.300
1742899284.158139,227091.000,34904,1,TH,1,100,30.365
1742899284.292140,227225.000,34936,1,TH,1,100,30.372
1742899284.425142,227358.000,34954,1,TH,1,100,30.294
1742899284.558143,227491.000,34971,1,TH,1,100,30.294
1742899284.692145,227625.000,35003,1,TH,1,100,30.296
1742899284.825146,227758.000,35019,1,TH,1,100,30.296
