LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1742899308.281397,251214.000,38861,1,SF,1,100,7.6785
1742899308.614400,251547.000,38911,1,SF,1,100,7.5896
1742899309.014405,251947.000,38978,1,SF,1,100,7.5018
1742899309.281407,252214.000,39029,1,SF,1,100,7.4150
1742899309.614411,252547.000,39079,1,SF,1,100,7.3293
1742899310.014415,252947.000,39146,1,SF,1,100,7.2445
1742899310.281418,253214.000,39195,1,SF,1,100,7.1607
1742899310.614422,253547.000,39247,1,SF,1,100,7.0778
1742899310.948425,253881.000,39296,1,SF,1,100,6.9960
1742899311.348429,254281.000,39363,1,SF,1,100,6.9150
1742899311.681433,254614.000,39414,1,SF,1,100,6.8350
1742899311.948436,254881.000,39467,1,SF,1,100,6.7560
1742899312.281440,255214.000,39515,1,SF,1,100,6.6778
1742899312.614443,255547.000,39564,1,SF,1,100,6.6006
1742899312.947447,255880.000,39618,1,SF,1,100,8.6065
1742899313.281450,256214.000,39670,1,SF,1,100,8.5069
1742899313.681454,256614.000,39737,1,SF,1,100,8.4085
1742899314.014458,256947.000,39790,1,SF,1,100,10.3935
1742899314.281461,257214.000,39839,1,SF,1,100,10.2733
1742899314.614465,257547.000,39889,1,SF,1,100,10.1544
1742899315.014469,257947.000,39954,1,SF,1,100,10.0369
1742899315.347472,258280.000,40007,1,SF,1,100,9.9208
1742899315.614475,258547.000,40057,1,SF,1,100,11.8883
1742899315.947479,258880.000,40108,1,SF,1,100,11.7508
1742899316.347483,259280.000,40174,1,SF,1,100,11.6149
1742899316.680486,259613.000,40233,1,SF,1,100,13.5628
1742899317.014490,259947.000,40281,1,SF,1,100,13.4059
1742899317.347494,260280.000,40334,1,SF,1,100,13.2508
1742899317.614496,260547.000,40382,1,SF,1,100,13.0975
1742899317.947500,260880.000,40435,1,SF,1,100,15.0282
1742899318.347504,261280.000,40504,1,SF,1,100,14.8544
1742899318.614507,261547.000,40554,1,SF,1,100,14.6825
1742899318.947511,261880.000,40603,1,SF,1,100,14.5127
1742899319.280514,262213.000,40653,1,SF,1,100,14.3448
1742899319.680519,262613.000,40721,1,SF,1,100,14.1789
1742899319.947521,262880.000,40771,1,SF,1,100,14.0149
1742899320.280525,263213.000,40821,1,SF,1,100,13.8527
1742899320.613528,263546.000,40870,1,SF,1,100,13.6925
1742899321.013533,263946.000,40937,1,SF,1,100,13.5341
1742899321.280536,264213.000,40987,1,SF,1,100,13.3775
1742899321.613539,264546.000,41036,1,SF,1,100,13.2228
1742899322.013543,264946.000,41094,1,SF,1,100,13.0698
1742899322.280546,265213.000,41142,1,SF,1,100,12.9186
1742899322.613550,265546.000,41194,1,SF,1,100,12.7692
1742899322.946553,265879.000,41243,1,SF,1,100,12.6215
1742899323.346558,266279.000,41312,1,SF,1,100,12.4754
1742899323.613560,266546.000,41361,1,SF,1,100,12.3311
1742899323.946564,266879.000,41415,1,SF,1,100,14.2707
1742899324.280568,267213.000,41464,1,SF,1,100,14.1057
