LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1742899293.001483,235934.250,36368,4,EM,1,100,RS
1742899293.051734,235984.500,36368,4,EM,1,100,RB
1742899293.101985,236034.750,36368,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899293.152235,236085.000,36368,4,EM,1,100,PS
1742899293.202486,236135.250,36403,4,EM,1,100,RS
1742899293.252736,236185.500,36403,4,EM,1,100,RB
1742899293.302987,236235.750,36403,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899293.353237,236286.000,36403,4,EM,1,100,PS
1742899293.403488,236336.250,36436,4,EM,1,100,RS
1742899293.453738,236386.500,36436,4,EM,1,100,RB
1742899293.503989,236436.750,36436,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899293.554240,236487.000,36436,4,EM,1,100,PS
1742899293.605490,236538.250,36471,4,EM,1,100,RS
1742899293.656740,236589.500,36471,4,EM,1,100,RB
1742899293.707991,236640.750,36471,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899293.759242,236692.000,36471,4,EM,1,100,PS
1742899293.809492,236742.250,36503,4,EM,1,100,RS
1742899293.859743,236792.500,36503,4,EM,1,100,RB
1742899293.909993,236842.750,36503,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899293.960244,236893.000,36503,4,EM,1,100,PS
1742899294.010494,236943.250,36536,4,EM,1,100,RS
1742899294.060745,236993.500,36536,4,EM,1,100,RB
1742899294.110995,237043.750,36536,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899294.161246,237094.000,36536,4,EM,1,100,PS
1742899294.211996,237144.750,36570,4,EM,1,100,RS
1742899294.262747,237195.500,36570,4,EM,1,100,RB
1742899294.313498,237246.250,36570,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899294.364248,237297.000,36570,4,EM,1,100,PS
1742899294.414499,237347.250,36603,4,EM,1,100,RS
1742899294.464749,237397.500,36603,4,EM,1,100,RB
1742899294.515000,237447.750,36603,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899294.565250,237498.000,36603,4,EM,1,100,PS
1742899294.615501,237548.250,36637,4,EM,1,100,RS
1742899294.665751,237598.500,36637,4,EM,1,100,RB
1742899294.716002,237648.750,36637,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899294.766252,237699.000,36637,4,EM,1,100,PS
1742899294.816503,237749.250,36668,4,EM,1,100,RS
1742899294.866753,237799.500,36668,4,EM,1,100,RB
1742899294.917004,237849.750,36668,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899294.967254,237900.000,36668,4,EM,1,100,PS
1742899295.017505,237950.250,36704,4,EM,1,100,RS
1742899295.067755,238000.500,36704,4,EM,1,100,RB
1742899295.118006,238050.750,36704,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899295.168257,238101.000,36704,4,EM,1,100,PS
1742899295.218507,238151.250,36736,4,EM,1,100,RS
