LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1742899275.979052,218912.000,33573,2,PI,1,100,173148
1742899276.019052,218952.000,33587,3,PI,1,100,173213
1742899276.059052,218992.000,33587,3,PI,1,100,173249
1742899276.099053,219032.000,33587,3,PI,1,100,173307
1742899276.139053,219072.000,33606,2,PI,1,100,173422
1742899276.179054,219112.000,33606,2,PI,1,100,173529
1742899276.219054,219152.000,33623,3,PI,1,100,173677
1742899276.259055,219192.000,33623,3,PI,1,100,173848
1742899276.299055,219232.000,33623,3,PI,1,100,173965
1742899276.339056,219272.000,33640,2,PI,1,100,174095
1742899276.379056,219312.000,33640,2,PI,1,100,174187
1742899276.419056,219352.000,33654,3,PI,1,100,173893
1742899276.459057,219392.000,33654,3,PI,1,100,173050
1742899276.499057,219432.000,33654,3,PI,1,100,172530
1742899276.539058,219472.000,33671,2,PI,1,100,172469
1742899276.579058,219512.000,33671,2,PI,1,100,172577
1742899276.619058,219552.000,33688,3,PI,1,100,172725
1742899276.659059,219592.000,33688,3,PI,1,100,172884
1742899276.699059,219632.000,33688,3,PI,1,100,172972
1742899276.739060,219672.000,33705,2,PI,1,100,172989
1742899276.779060,219712.000,33705,2,PI,1,100,173071
1742899276.819061,219752.000,33722,3,PI,1,100,173188
1742899276.859061,219792.000,33722,3,PI,1,100,173351
1742899276.899061,219832.000,33722,3,PI,1,100,173491
1742899276.939062,219872.000,33739,3,PI,1,100,173649
1742899276.979062,219912.000,33739,3,PI,1,100,173792
1742899277.019063,219952.000,33739,3,PI,1,100,173919
1742899277.059063,219992.000,33755,2,PI,1,100,174042
1742899277.099064,220032.000,33755,2,PI,1,100,173842
1742899277.139064,220072.000,33772,3,PI,1,100,172997
1742899277.179065,220112.000,33772,3,PI,1,100,172346
1742899277.219065,220152.000,33772,3,PI,1,100,172226
1742899277.259065,220192.000,33789,2,PI,1,100,172323
1742899277.299066,220232.000,33789,2,PI,1,100,172484
1742899277.339066,220272.000,33804,3,PI,1,100,172663
1742899277.379067,220312.000,33804,3,PI,1,100,172717
1742899277.419067,220352.000,33804,3,PI,1,100,172749
1742899277.459067,220392.000,33822,2,PI,1,100,172839
1742899277.499068,220432.000,33822,2,PI,1,100,172952
1742899277.539068,220472.000,33840,3,PI,1,100,173107
1742899277.579069,220512.000,33840,3,PI,1,100,173254
1742899277.619069,220552.000,33840,3,PI,1,100,173391
1742899277.659070,220592.000,33856,2,PI,1,100,173551
1742899277.699070,220632.000,33856,2,PI,1,100,173677
1742899277.739070,220672.000,33871,3,PI,1,100,173809
1742899277.779071,220712.000,33871,3,PI,1,100,173851
1742899277.819071,220752.000,33871,3,PI,1,100,173291
1742899277.859072,220792.000,33887,2,PI,1,100,172451
1742899277.899072,220832.000,33887,2,PI,1,100,172100
1742899277.939073,220872.000,33905,4,PI,1,100,172120
1742899277.979073,220912.000,33905,4,PI,1,100,172319
