LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1742899459.889017,402820.000,63682,2,AK,1,100,RD
1742899459.931017,402862.000,63685,2,AK,1,100,63683
1742899459.973017,402904.000,63685,2,AK,1,100,RD
1742899462.490544,405421.500,64532,2,AK,1,100,63683
1742899465.008071,407939.000,64532,2,AK,1,100,RD
1742899465.053072,407984.000,64535,2,AK,1,100,64533
1742899465.098072,408029.000,64535,2,AK,1,100,RD
1742899467.610099,410541.000,65373,2,AK,1,100,64533
1742899470.122126,413053.000,65373,2,AK,1,100,RD
1742899470.171626,413102.500,65376,2,AK,1,100,65374
1742899470.221127,413152.000,65376,2,AK,1,100,RD
1742899472.738654,415669.500,680,2,AK,1,100,65374
1742899475.256181,418187.000,680,2,AK,1,100,RD
1742899475.299681,418230.500,683,2,AK,1,100,681
1742899475.343182,418274.000,683,2,AK,1,100,RD
1742899477.853209,420784.000,1522,2,AK,1,100,681
1742899480.363235,423294.000,1522,2,AK,1,100,RD
1742899480.412736,423343.500,1525,2,AK,1,100,1523
1742899480.462236,423393.000,1525,2,AK,1,100,RD
1742899482.968763,425899.500,2367,2,AK,1,100,1523
1742899485.475290,428406.000,2367,2,AK,1,100,RD
1742899485.479790,428410.500,2370,2,AK,1,100,2368
1742899485.484290,428415.000,2370,2,AK,1,100,RD
1742899488.036817,430967.500,3208,2,AK,1,100,2368
1742899490.589345,433520.000,3208,2,AK,1,100,RD
1742899490.595845,433526.500,3211,2,AK,1,100,3209
1742899490.602345,433533.000,3211,2,AK,1,100,RD
1742899493.149872,436080.500,4047,2,AK,1,100,3209
1742899495.697399,438628.000,4047,2,AK,1,100,RD
1742899495.709899,438640.500,4050,2,AK,1,100,4048
1742899495.722399,438653.000,4050,2,AK,1,100,RD
1742899498.267926,441198.500,4886,2,AK,1,100,4048
1742899500.813454,443744.000,4886,2,AK,1,100,RD
1742899500.828954,443759.500,4889,2,AK,1,100,4887
1742899500.844454,443775.000,4889,2,AK,1,100,RD
