LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1742899337.945714,280878.000,43675,1,EL,1,100,-18691.000000
1742899338.012214,280944.500,43689,2,EL,1,100,-18691.199219
1742899338.078715,281011.000,43689,2,EL,1,100,-18692.199219
1742899338.145716,281078.000,43706,1,EL,1,100,-18696.800781
1742899338.212217,281144.500,43725,2,EL,1,100,-18699.199219
1742899338.278717,281211.000,43725,2,EL,1,100,-18700.000000
1742899338.345718,281278.000,43744,1,EL,1,100,-18701.000000
1742899338.412219,281344.500,43758,2,EL,1,100,-18703.400391
1742899338.478719,281411.000,43758,2,EL,1,100,-18705.599609
1742899338.545720,281478.000,43775,1,EL,1,100,-18708.599609
1742899338.612221,281544.500,43792,2,EL,1,100,-18713.000000
1742899338.678721,281611.000,43792,2,EL,1,100,-18718.400391
1742899338.745722,281678.000,43809,1,EL,1,100,-18723.400391
1742899338.812223,281744.500,43823,2,EL,1,100,-18729.000000
1742899338.878724,281811.000,43823,2,EL,1,100,-18734.199219
1742899338.945724,281878.000,43843,1,EL,1,100,-18739.800781
1742899339.012225,281944.500,43859,2,EL,1,100,-18745.599609
1742899339.078726,282011.000,43859,2,EL,1,100,-18751.000000
1742899339.145726,282078.000,43876,1,EL,1,100,-18755.400391
1742899339.212227,282144.500,43892,2,EL,1,100,-18759.800781
1742899339.278728,282211.000,43892,2,EL,1,100,-18763.400391
1742899339.345729,282278.000,43908,1,EL,1,100,-18766.199219
1742899339.412229,282344.500,43926,2,EL,1,100,-18769.800781
1742899339.478730,282411.000,43926,2,EL,1,100,-18772.199219
1742899339.545231,282477.500,43946,2,EL,1,100,-18774.199219
1742899339.611732,282544.000,43946,2,EL,1,100,-18776.599609
1742899339.678732,282611.000,43962,1,EL,1,100,-18778.800781
1742899339.745233,282677.500,43977,2,EL,1,100,-18780.599609
1742899339.811734,282744.000,43977,2,EL,1,100,-18782.800781
1742899339.878734,282811.000,43993,1,EL,1,100,-18784.199219
1742899339.945235,282877.500,44011,2,EL,1,100,-18785.199219
1742899340.011736,282944.000,44011,2,EL,1,100,-18786.800781
1742899340.078737,283011.000,44029,1,EL,1,100,-18787.599609
1742899340.145237,283077.500,44044,2,EL,1,100,-18787.800781
1742899340.211738,283144.000,44044,2,EL,1,100,-18787.400391
1742899340.278738,283211.000,44061,1,EL,1,100,-18785.599609
1742899340.345239,283277.500,44078,2,EL,1,100,-18784.199219
1742899340.411740,283344.000,44078,2,EL,1,100,-18783.400391
1742899340.478741,283411.000,44094,1,EL,1,100,-18781.800781
1742899340.545241,283477.500,44110,2,EL,1,100,-18779.800781
1742899340.611742,283544.000,44110,2,EL,1,100,-18777.000000
1742899340.678743,283611.000,44126,1,EL,1,100,-18773.800781
