LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1742899280.911104,223844.000,34396,3,MZ,1,100,227
1742899280.951105,223884.000,34396,3,MZ,1,100,227
1742899280.991105,223924.000,34396,3,MZ,1,100,226
1742899281.031106,223964.000,34413,2,MZ,1,100,227
1742899281.071106,224004.000,34413,2,MZ,1,100,226
1742899281.111106,224044.000,34427,3,MZ,1,100,226
1742899281.151107,224084.000,34427,3,MZ,1,100,227
1742899281.191107,224124.000,34427,3,MZ,1,100,228
1742899281.231108,224164.000,34445,2,MZ,1,100,227
1742899281.271108,224204.000,34445,2,MZ,1,100,227
1742899281.311109,224244.000,34461,3,MZ,1,100,228
1742899281.351109,224284.000,34461,3,MZ,1,100,225
1742899281.391109,224324.000,34461,3,MZ,1,100,227
1742899281.431110,224364.000,34480,3,MZ,1,100,227
1742899281.471110,224404.000,34480,3,MZ,1,100,228
1742899281.511111,224444.000,34480,3,MZ,1,100,227
1742899281.551111,224484.000,34495,2,MZ,1,100,227
1742899281.591112,224524.000,34495,2,MZ,1,100,227
1742899281.627112,224560.000,34512,3,MZ,1,100,227
1742899281.663112,224596.000,34512,3,MZ,1,100,226
1742899281.699113,224632.000,34512,3,MZ,1,100,227
1742899281.738780,224671.667,34528,3,MZ,1,100,227
1742899281.778447,224711.333,34528,3,MZ,1,100,226
1742899281.818114,224751.000,34528,3,MZ,1,100,226
1742899281.858614,224791.500,34545,2,MZ,1,100,227
1742899281.899115,224832.000,34545,2,MZ,1,100,227
1742899281.938782,224871.667,34562,3,MZ,1,100,226
1742899281.978449,224911.333,34562,3,MZ,1,100,226
1742899282.018116,224951.000,34562,3,MZ,1,100,227
1742899282.058117,224991.000,34577,2,MZ,1,100,226
1742899282.098117,225031.000,34577,2,MZ,1,100,227
1742899282.138451,225071.333,34595,3,MZ,1,100,226
1742899282.178785,225111.667,34595,3,MZ,1,100,227
1742899282.219118,225152.000,34595,3,MZ,1,100,227
1742899282.258619,225191.500,34613,2,MZ,1,100,226
1742899282.298119,225231.000,34613,2,MZ,1,100,227
1742899282.338120,225271.000,34629,3,MZ,1,100,228
