LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1742899287.743177,230676.000,35488,1,T1,1,100,31.877
1742899287.876179,230809.000,35520,1,T1,1,100,31.876
1742899288.010180,230943.000,35539,1,T1,1,100,31.698
1742899288.143182,231076.000,35555,1,T1,1,100,31.798
1742899288.276183,231209.000,35589,1,T1,1,100,31.842
1742899288.410184,231343.000,35606,1,T1,1,100,31.896
1742899288.543186,231476.000,35622,1,T1,1,100,31.778
1742899288.676187,231609.000,35656,1,T1,1,100,31.904
1742899288.810189,231743.000,35673,1,T1,1,100,31.817
1742899288.943190,231876.000,35690,1,T1,1,100,31.921
1742899289.076192,232009.000,35721,1,T1,1,100,31.895
1742899289.210193,232143.000,35738,1,T1,1,100,31.919
1742899289.343194,232276.000,35755,1,T1,1,100,31.929
1742899289.476196,232409.000,35774,1,T1,1,100,31.969
1742899289.610197,232543.000,35806,1,T1,1,100,31.916
1742899289.743199,232676.000,35822,1,T1,1,100,31.928
1742899289.876200,232809.000,35839,1,T1,1,100,32.004
1742899290.010201,232943.000,35871,1,T1,1,100,32.002
1742899290.143203,233076.000,35889,1,T1,1,100,31.965
1742899290.276204,233209.000,35907,1,T1,1,100,32.020
1742899290.409206,233342.000,35938,1,T1,1,100,31.973
1742899290.543207,233476.000,35954,1,T1,1,100,31.988
1742899290.676209,233609.000,35972,1,T1,1,100,31.995
1742899290.809210,233742.000,36005,1,T1,1,100,31.927
1742899290.943212,233876.000,36022,1,T1,1,100,31.897
1742899291.076213,234009.000,36042,1,T1,1,100,32.027
1742899291.209214,234142.000,36058,1,T1,1,100,31.976
1742899291.343216,234276.000,36076,1,T1,1,100,31.812
1742899291.476217,234409.000,36109,1,T1,1,100,31.954
1742899291.609219,234542.000,36126,1,T1,1,100,31.909
1742899291.743220,234676.000,36143,1,T1,1,100,31.961
1742899291.876221,234809.000,36175,1,T1,1,100,31.948
1742899292.009223,234942.000,36191,1,T1,1,100,31.906
1742899292.143224,235076.000,36208,1,T1,1,100,31.995
1742899292.276226,235209.000,36242,1,T1,1,100,32.140
1742899292.409227,235342.000,36258,1,T1,1,100,32.096
1742899292.543229,235476.000,36275,1,T1,1,100,32.006
