LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1742899288.750188,231683.000,35654,2,EA,1,100,1.085144
1742899288.816189,231749.000,35671,1,EA,1,100,1.084974
1742899288.883189,231816.000,35688,2,EA,1,100,1.084974
1742899288.950190,231883.000,35688,2,EA,1,100,1.084298
1742899289.016191,231949.000,35705,1,EA,1,100,1.084128
1742899289.083192,232016.000,35719,2,EA,1,100,1.083454
1742899289.150192,232083.000,35719,2,EA,1,100,1.082778
1742899289.217193,232150.000,35736,1,EA,1,100,1.081936
1742899289.283694,232216.500,35753,2,EA,1,100,1.082104
1742899289.350194,232283.000,35753,2,EA,1,100,1.081936
1742899289.416195,232349.000,35772,1,EA,1,100,1.081768
1742899289.483196,232416.000,35787,2,EA,1,100,1.080928
1742899289.550197,232483.000,35787,2,EA,1,100,1.080423
1742899289.616697,232549.500,35804,2,EA,1,100,1.080423
1742899289.683198,232616.000,35804,2,EA,1,100,1.080256
1742899289.750199,232683.000,35820,1,EA,1,100,1.079584
1742899289.816700,232749.500,35837,2,EA,1,100,1.079251
1742899289.883200,232816.000,35837,2,EA,1,100,1.078581
1742899289.950201,232883.000,35854,1,EA,1,100,1.078747
1742899290.016702,232949.500,35869,2,EA,1,100,1.078246
1742899290.083202,233016.000,35869,2,EA,1,100,1.077745
1742899290.150203,233083.000,35887,1,EA,1,100,1.077411
1742899290.216704,233149.500,35905,2,EA,1,100,1.077579
1742899290.283205,233216.000,35905,2,EA,1,100,1.076911
1742899290.350205,233283.000,35921,1,EA,1,100,1.076911
1742899290.416706,233349.500,35936,2,EA,1,100,1.076911
1742899290.483207,233416.000,35936,2,EA,1,100,1.076577
1742899290.550207,233483.000,35952,1,EA,1,100,1.075912
1742899290.616708,233549.500,35970,2,EA,1,100,1.075411
1742899290.683209,233616.000,35970,2,EA,1,100,1.075246
1742899290.750209,233683.000,35986,1,EA,1,100,1.075246
1742899290.816710,233749.500,36003,2,EA,1,100,1.075246
1742899290.883211,233816.000,36003,2,EA,1,100,1.075246
1742899290.950212,233883.000,36020,1,EA,1,100,1.075080
1742899291.016712,233949.500,36040,2,EA,1,100,1.074913
1742899291.083213,234016.000,36040,2,EA,1,100,1.075080
1742899291.149714,234082.500,36056,2,EA,1,100,1.074748
1742899291.216214,234149.000,36056,2,EA,1,100,1.074748
1742899291.283215,234216.000,36074,1,EA,1,100,1.074415
1742899291.349716,234282.500,36089,2,EA,1,100,1.074250
1742899291.416217,234349.000,36089,2,EA,1,100,1.073918
1742899291.483217,234416.000,36107,1,EA,1,100,1.074083
1742899291.549718,234482.500,36124,2,EA,1,100,1.073751
1742899291.616219,234549.000,36124,2,EA,1,100,1.073586
1742899291.683219,234616.000,36141,2,EA,1,100,1.073586
1742899291.750220,234683.000,36141,2,EA,1,100,1.073421
1742899291.816221,234749.000,36157,1,EA,1,100,1.073421
1742899291.883222,234816.000,36173,2,EA,1,100,1.073254
1742899291.950222,234883.000,36173,2,EA,1,100,1.072923
1742899292.016223,234949.000,36189,1,EA,1,100,1.072427
1742899292.083224,235016.000,36206,2,EA,1,100,1.072758
1742899292.150224,235083.000,36206,2,EA,1,100,1.072262
1742899292.216225,235149.000,36224,1,EA,1,100,1.071932
1742899292.283226,235216.000,36240,2,EA,1,100,1.071767
1742899292.350227,235283.000,36240,2,EA,1,100,1.071932
1742899292.416227,235349.000,36256,1,EA,1,100,1.071767
1742899292.483228,235416.000,36273,2,EA,1,100,1.071437
1742899292.550229,235483.000,36273,2,EA,1,100,1.071106
1742899292.616229,235549.000,36290,1,EA,1,100,1.070612
